epoch,accuracy,val_accuracy,loss,val_loss
1,0.3493810296058655,0.41545894742012024,1.3509191274642944,1.2092058658599854
2,0.3988995850086212,0.4637681245803833,1.2749446630477905,1.144291639328003
3,0.44704264402389526,0.47826087474823,1.1352653503417969,1.0887854099273682
4,0.45529574155807495,0.5169082283973694,1.1205427646636963,1.0441341400146484
5,0.47730398178100586,0.5265700221061707,1.0923360586166382,1.0071688890457153
6,0.4883081018924713,0.5555555820465088,1.0680086612701416,0.980743944644928
7,0.5075653195381165,0.5700483322143555,1.036912202835083,0.9535245895385742
8,0.5323246121406555,0.5797101259231567,0.9770680069923401,0.9305983781814575
9,0.5625859498977661,0.5893719792366028,0.9416216611862183,0.9178804159164429
10,0.5488308072090149,0.6086956262588501,0.9316173791885376,0.8968784213066101
11,0.580467700958252,0.6135265827178955,0.8891745209693909,0.8799145817756653
12,0.5873452425003052,0.6280193328857422,0.9126634001731873,0.8732702136039734
13,0.6066024899482727,0.6328502297401428,0.8654460906982422,0.8660265207290649
14,0.580467700958252,0.6231883764266968,0.883819043636322,0.8473411798477173
15,0.6203576326370239,0.6425120830535889,0.856989860534668,0.8422381281852722
16,0.6286107301712036,0.6280193328857422,0.7952383756637573,0.8284523487091064
17,0.6189821362495422,0.6425120830535889,0.8403031229972839,0.8296285271644592
18,0.6189821362495422,0.6425120830535889,0.8089291453361511,0.8177697658538818
19,0.6464924216270447,0.6376811861991882,0.7714774012565613,0.8053577542304993
20,0.6726272106170654,0.6425120830535889,0.7686738967895508,0.8067578077316284
21,0.5350756645202637,0.6183574795722961,0.9378181099891663,0.8273367881774902
22,0.6066024899482727,0.6183574795722961,0.8371801376342773,0.8225079774856567
23,0.6286107301712036,0.6231883764266968,0.8061492443084717,0.8205414414405823
24,0.6506189703941345,0.6280193328857422,0.7629544734954834,0.8121142387390137
25,0.6286107301712036,0.6280193328857422,0.7753530740737915,0.8049923777580261
26,0.6671251654624939,0.6425120830535889,0.7258643507957458,0.7951744198799133
27,0.6574965715408325,0.6473429799079895,0.7084892988204956,0.7808993458747864
28,0.7028886079788208,0.6570048332214355,0.6856116056442261,0.764502763748169
29,0.7083906531333923,0.6570048332214355,0.6670938730239868,0.7568823099136353
30,0.7372764945030212,0.6570048332214355,0.6551072001457214,0.7539432644844055
31,0.7056396007537842,0.6570048332214355,0.6516162753105164,0.7456649541854858
32,0.7015130519866943,0.6618357300758362,0.6552132964134216,0.7443862557411194
33,0.7372764945030212,0.6618357300758362,0.5989515781402588,0.7333995699882507
34,0.7771664261817932,0.6618357300758362,0.5504904985427856,0.7270631194114685
35,0.7510316371917725,0.6714975833892822,0.5754305720329285,0.7168943881988525
36,0.763411283493042,0.6714975833892822,0.5563572645187378,0.7106792330741882
37,0.7675378322601318,0.6714975833892822,0.5639345645904541,0.7030876278877258
38,0.7854195237159729,0.6811594367027283,0.5150267481803894,0.7057139277458191
39,0.7757909297943115,0.6763284802436829,0.5388100743293762,0.6956602334976196
40,0.7757909297943115,0.6811594367027283,0.5168796181678772,0.6917966604232788
